"jaar","0 tot 20 jaar (x mln)","20 tot 65 jaar (x mln)","65 tot 80 jaar (x mln)","80 jaar en ouder (x mln)","0-20 jaar prognose (x mln)","20-65 jaar prognose (x mln)","65-80 jaar prognose (x mln)","80 jaar en ouder prognose (x mln)"
"1950","3,74","5,51","0,67","0,10","","","",""
"1951","3,81","5,60","0,69","0,10","","","",""
"1952","3,85","5,66","0,71","0,11","","","",""
"1953","3,89","5,70","0,73","0,11","","","",""
"1954","3,95","5,74","0,75","0,12","","","",""
"1955","4,00","5,79","0,77","0,12","","","",""
"1956","4,06","5,85","0,78","0,13","","","",""
"1957","4,12","5,90","0,80","0,14","","","",""
"1958","4,19","5,95","0,82","0,14","","","",""
"1959","4,27","6,02","0,84","0,15","","","",""
"1960","4,33","6,07","0,86","0,15","","","",""
"1961","4,39","6,12","0,89","0,16","","","",""
"1962","4,46","6,18","0,91","0,17","","","",""
"1963","4,53","6,25","0,93","0,17","","","",""
"1964","4,58","6,33","0,96","0,18","","","",""
"1965","4,63","6,42","0,98","0,19","","","",""
"1966","4,69","6,50","1,00","0,19","","","",""
"1967","4,66","6,66","1,02","0,20","","","",""
"1968","4,64","6,77","1,04","0,21","","","",""
"1969","4,64","6,88","1,07","0,22","","","",""
"1970","4,66","6,99","1,09","0,22","","","",""
"1971","4,68","7,10","1,11","0,23","","","",""
"1972","4,69","7,21","1,13","0,24","","","",""
"1973","4,69","7,30","1,15","0,24","","","",""
"1974","4,67","7,39","1,18","0,25","","","",""
"1975","4,65","7,49","1,20","0,26","","","",""
"1976","4,62","7,62","1,22","0,27","","","",""
"1977","4,58","7,72","1,24","0,28","","","",""
"1978","4,53","7,82","1,26","0,29","","","",""
"1979","4,48","7,93","1,28","0,30","","","",""
"1980","4,43","8,04","1,30","0,31","","","",""
"1981","4,40","8,17","1,32","0,32","","","",""
"1982","4,33","8,29","1,33","0,34","","","",""
"1983","4,25","8,40","1,34","0,35","","","",""
"1984","4,17","8,52","1,35","0,36","","","",""
"1985","4,08","8,64","1,36","0,37","","","",""
"1986","4,02","8,74","1,39","0,38","","","",""
"1987","3,97","8,84","1,41","0,39","","","",""
"1988","3,92","8,95","1,43","0,41","","","",""
"1989","3,87","9,05","1,46","0,42","","","",""
"1990","3,82","9,16","1,48","0,43","","","",""
"1991","3,79","9,29","1,50","0,44","","","",""
"1992","3,76","9,41","1,52","0,44","","","",""
"1993","3,75","9,51","1,53","0,46","","","",""
"1994","3,75","9,58","1,54","0,46","","","",""
"1995","3,76","9,63","1,56","0,48","","","",""
"1996","3,77","9,66","1,58","0,48","","","",""
"1997","3,79","9,70","1,60","0,49","","","",""
"1998","3,81","9,74","1,62","0,49","","","",""
"1999","3,84","9,79","1,63","0,50","","","",""
"2000","3,87","9,84","1,65","0,50","","","",""
"2001","3,91","9,90","1,66","0,52","","","",""
"2002","3,94","9,97","1,67","0,53","","","",""
"2003","3,97","10,00","1,68","0,54","","","",""
"2004","3,99","10,02","1,69","0,56","","","",""
"2005","3,99","10,03","1,72","0,57","","","",""
"2006","3,98","10,03","1,74","0,59","","","",""
"2007","3,96","10,03","1,77","0,60","","","",""
"2008","3,94","10,05","1,80","0,62","","","",""
"2009","3,93","10,08","1,84","0,63","","","",""
"2010","3,93","10,11","1,89","0,65","","","",""
"2011","3,91","10,15","1,93","0,67","","","",""
"2012","3,89","10,12","2,03","0,69","","","",""
"2013","3,87","10,08","2,12","0,70","","","",""
"2014","3,85","10,06","2,20","0,72","","","",""
"2015","3,83","10,06","2,27","0,73","","","",""
"2016","3,82","10,08","2,34","0,75","","","",""
"2017","3,82","10,10","2,40","0,76","","","",""
